Animal,Peso,Sexo,Idade,Raça,FC,FR,PAS,T°C,Oximetria,Hematócrito,Arquivo
,,Macho,,Graziela Campos Garibaldi     CRMV-SP 59006 ,,,,,,,Chorão (Bruna) PCR .pdf
,,,,,88 - 72,32  - 28,140 - 150 ,,,,chorão - relatório do periodo noturno.pdf
,,M,"3A
Proprietário",Idade: 3A,,,,,,,Chorão_08set24.pdf
,,M,"3A
Proprietário",Idade: 3A,,,,,,12,Chorão_Reticulócitos_08set24.pdf
,,Macho,,Ana Paula Gomes De Oliveira     CRMV-SP 62649 ,,,,,,,Cookie (Walter) 25-08.pdf
,,Fêmea,,Patricia Frutuoso Da Silva     CRMV-SP 59.733 ,,,,,,,Cristal (Beatriz) .pdf
,,Fêmea,,Carolina Canales     CRMV-SP 72930 ,,,,,,,Cristal (Beatriz) 15-04.pdf
,,M,"2 anos 0mes16 dias
Microchip",BORDER COLLIE,,,,,,,cultura bacteriana-1.pdf
,,Fêmea,,Camila Tavares De Oliveira     CRMV-SP 52607 ,,,,,,,Dodo (Tania) 04-05.pdf
,,Fêmea,,Marianna Leite Siqueira     CRMV-SP 61.708 ,,,,,,,Dodo (Tania) 18-06.pdf
,,Fêmea,,Isabella Azevedo     CRMV-SP 58987 ,,,,,,,Dodo (Tania) 19-06.pdf
,,Fêmea,,Larissa Andrade     CRMV-SP 51556 ,,,,,,,Dodó (Tania) Coagulação.pdf
,,Fêmea,,Graziela Campos Garibaldi     CRMV-SP 59006 ,,,,,,,Dodó (Tânia) 01-07.pdf
,,Macho,,Marianna Leite Siqueira     CRMV-SP 61.708 ,,,,,,,Dodó (Tânia) 20-06-1.pdf
,,Macho,,Marianna Leite Siqueira     CRMV-SP 61.708 ,,,,,,,Dodó (Tânia) 20-06.pdf
,,Fêmea,,Lucca Russi     CRMV-SP 60.694 ,,,,,,,Dodó (Tânia).pdf
DODÓ,"3,850",Fêmea,"5 anos, 2 meses, 19 dias
Pelagem",Spitz Alemão(Lulu da pomerania),,,,,,,Dodó Boletim Noturno.pdf
,,F,"5a
Proprietário",Idade: 5a,,,,,,,Dodó_01mai24.pdf
,,F,"6A
Proprietário",Idade: 6A,,,,,,,Dodó_14abr25.pdf
,,F,"5a
Proprietário",Idade: 5a,,,,,,,Dodó_30jun24.pdf
,,Fêmea,,Giovanna Barbulho Campano     CRMV-SP 64341 ,,,,,,,Doris (Patricia) -1.pdf
,,Macho,"Adulto 
Proprietário Sr ",SRD ,,,,,,,Dra Valeria Paçoca Priscila Laudo US - 30  04.pdf
,"35,5",Fêmea,"10 anos e 10 meses 
 
Peso",Pastor Alemão ,,,,,,,ECG AMY - ALEXEI - 12-05-25.pdf
,,macho,"14 anos 
Raça",Beagle  ,,,,,,,ECG Sheik - Valquíria-.pdf
,,,,,,,,,,,ECG Sheik - Valquíria--1.pdf
,"5,5",Fêmea,"14 anos 
Peso",Shih Tzu ,,,,,,,ECO - Meg - Thais Guimarães.pdf
,"35,5",Fêmea,"10 anos e 10 meses 
Peso",Pastor Alemão ,,,,,,,ECO AMY - ALEXEI - 12-05-2025.pdf
,,macho,"10 anos 
Raça",Spitz Alemão                                                                             Espécie: canina            Sexo: macho ,,,,,,,Eco Blue - André.pdf
,18,macho,"15 anos                        
Espécie",SRD                          Idade: 15 anos                        ,,,,,,,Eco Bob - Felipe.pdf
,"9,7",fêmea,"12 anos                        
Espécie",Lhasa- Apso                          Idade: 12 anos                        ,,,,,,,Eco Carlota - Lúcia.pdf
,,,,,,,,,,,ECO LUNA MONICA.pdf
,"37,20",macho,"12 anos                        
Espécie",Golden Retriever      Idade: 12 anos                        ,,,,,,,Eco Marley-Márcia.pdf
,"8,8",fêmea,"11 anos 
Raça",Yorkshire                                                                                    Espécie: canina ,,,,,,,Eco Ricota.pdf
,,macho,"14 anos 
Raça",Beagle  ,,,,,,,Eco Sheik - Valquíria (1).pdf
,,,,,,,,,,,Eco Sheik - Valquíria.pdf
,"5,6",Fêmea,"14 anos e 6 meses 
Peso",Shih Tzu  ,,,,,,,ECO SOPHIA - MARINA - 19-11-2024.pdf
,,,,,,,,,,,Ecocardiograma - Sophia - Marina 2407.pdf
,"0,0",Fêmea,"12 anos e 7 meses
Sexo",Sem raça definida (SRD),,,,,,,eletro-1.pdf
Bia,"2,100",Fêmea,"14 anos, 6 meses, 14 dias
Pelagem",Yorkshire Terrier,80,,,,,,Encaminhamento UTI- Bia - Jussara (5).pdf
DODÓ,"3,900",Fêmea,"5 anos, 3 meses, 2 dias
Pelagem",Spitz Alemão(Lulu da pomerania),156 - 120 ,36 - 20 ,150 - 130 ,,99,31,Evolução Dodó.pdf
,,Macho,"ECODOPPLERCARDIOGRAFIA 
 Peso",Corgi ,,,,,,,exame Bobby coração 19 dez 24.PDF
,,M,"12 anos 3 meses 23 dias
Microchip",WELSH CORGI PEMBROKE,,,,,,,exame Bobby sangue 07 maio 2025.pdf
,,Fêmea,"HEMOGRAMA COMPLETO 
 Vlr Ref",Srd Canino ,,,,,,,Exame de sangue Lari - 13.01.2025.PDF
,,Macho,7 anos,SRD. ,,,,,,,Exame Nick 08.7.24.pdf
,,Idade,29,Dt. Nasc.: ,,,,,,,Exame Nick 2.pdf
,,Idade,29,Dt. Nasc.: ,,,,,,,Exame Nick 29.6.24.pdf
,"0,00",FEMEA_CASTRADA,"13 anos e 11 meses
Peso",SHIH- TZU,,,,,,,Exame-pressão_(maio_2025).pdf
,,,,,,,,,,,Exames Luna 5698.pdf
,,,,,,,,,,,Exames Ruth Flores - Tutor Leticia Flores 200724.pdf
,,,,,,,,,,,fotos bud 14-01.pdf
,,,,,,,,,,,fotos bud.pdf
,,,,,,,,,,,fotos caramelo.pdf
,,,,,,,,,,,FOTOS JUBA.pdf
,,Macho,,Jader Tomaz Dos Reis Costa     CRMV-SP 70049 ,,,,,,,Fred (Ana Luisa) .pdf
,,Macho,,Thais Andreo Goncalves Vieira     CRMV-SP 71599 ,,,,,,,Fred (Ana Luisa) 12-04.pdf
,,Macho,,Carolina Canales     CRMV-SP 72930 ,,,,,,,Fred (Ana) 15-04.pdf
,,Macho,,Jader Tomaz Dos Reis Costa     CRMV-SP 70049 ,,,,,,,Fred (Ana) 16-04.pdf
,,Macho,,Carolina Canales     CRMV-SP 72930 ,,,,,,,Fred (Ana) 17-04.pdf
,,Macho,,Nathalia Cristina S. Souza     CRMV-SP 64.690 ,,,,,,,Fred (Ana) Cultura.pdf
,,M,"8A
Proprietário",Idade: 8A,,,,,,,Fred_13abr25.pdf
,,M,"8A
Proprietário",Idade: 8A,,,,,,,Fred_Compatibilidade_13abr25.pdf
,,M,"8A
Proprietário",Idade: 8A,,,,,,,Fred_Urinálise_13abr25.pdf
,,Macho,,Julia Vitoria De Almeida     CRMV-SP 70556 ,,,,,,,Galak (Julia) 13-05.pdf
,,Macho,,Carolina Canales     CRMV-SP 72930 ,,,,,,,Galak (Julia) 14-05.pdf
,,Macho,"12a 10m 0d 
 GASOMETRIA C",Pug ,,,,,,,GASOMETRIA BORIS.pdf
,,F,"14 anos 0mes 0dia
Microchip",SHIH-TZU,,,,,,,HE PROVET SOPHIA MARINA.pdf
,,Fêmea,,219.393.428-21 ,,,,,,,Hematologico NINA.pdf
,,M,"2 anos
Microchip",BORDER COLLIE,,,,,,,hemocultura.pdf
BUD,"16,900",Macho,"9 anos, 5 meses, 9 dias
Pelagem",Pastor de shetland,,,,,,,HEMOGASOMETRIA CG8  - BUD - FELIPPE.pdf
JUBA,"33,500",Fêmea,"10 anos, 8 meses, 9 dias
Pelagem",Chow chow,,,,,,,HEMOGASOMETRIA CG8  - JUBA - DESIREE-1.pdf
JUBA,"33,500",Fêmea,"10 anos, 8 meses, 8 dias
Pelagem",Chow chow,,,,,,,HEMOGASOMETRIA CG8  - JUBA - DESIREE.pdf
LORY,"11,700",Fêmea,"12 anos, 9 meses
Pelagem",SEM RAÇA DEFINIDA,,,,,,,HEMOGASOMETRIA CG8  - LORY - DANIELLE.pdf
BUD,"17,150",Macho,"9 anos, 5 meses, 7 dias
Pelagem",Pastor de shetland,,,,,,,HEMOGASOMETRIA CG8+ - BUD - FELIPPE-1.pdf
BUD,"18,000",Macho,"9 anos, 5 meses, 2 dias
Pelagem",Pastor de shetland,,,,,,,HEMOGASOMETRIA CG8+ - BUD - FELIPPE.pdf
JUBA,"34,400",Fêmea,"10 anos, 27 dias
Pelagem",Chow chow,,,,,,,HEMOGASOMETRIA CG8+ - JUBA - DESIREE.pdf
BOB,"16,200",Macho,"13 anos, 9 dias
Pelagem",SEM RAÇA DEFINIDA,,,,,,,Hemogasometria EC8 - BOB - GLAUCO.pdf
CHORÃO,"28,300",Macho, ,Pastor alemão,,,,,,,Hemogasometria EC8 - CHORÃO - BRUNA-1.pdf
CHORÃO,"28,300",Macho, ,Pastor alemão,,,,,,,Hemogasometria EC8 - CHORÃO - BRUNA.pdf
GALAK,"47,500",Macho,"10 anos, 1 mês, 13 dias
Pelagem",Labrador retriever,,,,,,,Hemogasometria EC8 - GALAK - ANDRE.pdf
LUNA,"3,650",Fêmea,"10 anos, 6 meses, 13 dias
Pelagem",Yorkshire terrier,,,,,,,Hemogasometria EC8 - LUNA - MARINA (1).pdf
MEG,"3,700",Fêmea,"10 anos, 2 meses, 16 dias
Pelagem",Yorkshire terrier,,,,,,,Hemogasometria EC8 - MEG - FABIANA.pdf
MEL,"11,300",Fêmea,"12 anos, 10 meses, 2 dias
Pelagem",SEM RAÇA DEFINIDA,,,,,,,Hemogasometria EC8 - MEL - AMALIA.pdf
PEQUENA,"7,500",Fêmea,"13 anos, 11 meses, 18 dias
Pelagem",Shih-Tzu,,,,,,,Hemogasometria EC8 - PEQUENA - ADRIANA.pdf
SHEIK,"18,500",Macho,"12 anos, 7 meses, 26 dias
Pelagem",Beagle,,,,,,,Hemogasometria EC8 - SHEIK - VALQUIRIA.pdf
Audrey,"6,250",Fêmea,"15 anos, 3 meses, 15 dias
Pelagem",SEM RAÇA DEFINIDA,,,,,,,Hemogasometria EG7 - Audrey - JESSICA (1).pdf
CARAMELO,"25,350",Macho,"9 anos, 4 meses, 17 dias
Pelagem",SEM RAÇA DEFINIDA,,,,,,,Hemogasometria EG7 - CARAMELO - DIEGO.pdf
CARLOTA,"9,750",Fêmea,"12 anos, 18 dias
Pelagem",Lhasa apso,,,,,,,Hemogasometria EG7 - CARLOTA - LUCIA.pdf
CHORÃO,"28,300",Macho, ,Pastor alemão,,,,,,,Hemogasometria EG7 - CHORÃO - BRUNA.pdf
FRED,"7,380",Macho,"8 anos, 2 meses, 27 dias
Pelagem",Cavalier king charles spaniel,,,,,,,Hemogasometria EG7 - FRED - ANA (1).pdf
FRED,"7,380",Macho,"8 anos, 2 meses, 27 dias
Pelagem",Cavalier king charles spaniel,,,,,,,Hemogasometria EG7 - FRED - ANA.pdf
GALAK,"43,000",Macho,"10 anos, 1 mês, 13 dias
Pelagem",Labrador retriever,,,,,,,Hemogasometria EG7 - GALAK - ANDRE.pdf
JUDY,"40,000",Fêmea,"12 anos, 4 meses, 20 dias
Pelagem",Labrador retriever,,,,,,,Hemogasometria EG7 - JUDY - Silvia.pdf
LETICIA,"17,450",Fêmea,"13 anos, 10 meses, 4 dias
Pelagem",SEM RAÇA DEFINIDA,,,,,,,Hemogasometria EG7 - LETICIA - LAURA.pdf
MARLEY,"37,600",Macho,"12 anos, 10 meses, 29 dias
Pelagem",Golden retriever,,,,,,,Hemogasometria EG7 - MARLEY - MARCIA.pdf
Matilda,"3,400",Fêmea,"5 anos, 4 meses, 13 dias
Pelagem",SEM RAÇA DEFINIDA,,,,,,,Hemogasometria EG7 - Matilda - Gabriella.pdf
MEG,"3,700",Fêmea,"10 anos, 2 meses, 16 dias
Pelagem",Yorkshire terrier,,,,,,,Hemogasometria EG7 - MEG - FABIANA.pdf
MEL,"11,300",Fêmea,"12 anos, 10 meses, 3 dias
Pelagem",SEM RAÇA DEFINIDA,,,,,,,Hemogasometria EG7 - MEL - AMALIA (1).pdf
MEL,"11,300",Fêmea,"12 anos, 10 meses, 4 dias
Pelagem",SEM RAÇA DEFINIDA,,,,,,,Hemogasometria EG7 - MEL - AMALIA (3).pdf
MEL,"11,300",Fêmea,"12 anos, 10 meses, 3 dias
Pelagem",SEM RAÇA DEFINIDA,,,,,,,Hemogasometria EG7 - MEL - AMALIA-1.pdf
MEL,"11,300",Fêmea,"12 anos, 10 meses, 2 dias
Pelagem",SEM RAÇA DEFINIDA,,,,,,,Hemogasometria EG7 - MEL - AMALIA.pdf
NINA,"28,800",Fêmea,"9 anos, 7 meses
Pelagem",Border collie,,,,,,,Hemogasometria EG7 - NINA - LILIAN (1).pdf
NINA,"28,800",Fêmea,"9 anos, 7 meses
Pelagem",Border collie,,,,,,,Hemogasometria EG7 - NINA - LILIAN (2).pdf
NINA,"28,800",Fêmea,"9 anos, 7 meses
Pelagem",Border collie,,,,,,,Hemogasometria EG7 - NINA - LILIAN (4).pdf
NINA,"28,800",Fêmea,"9 anos, 7 meses
Pelagem",Border collie,,,,,,,Hemogasometria EG7 - NINA - LILIAN (5).pdf
NINA,"28,800",Fêmea,"9 anos, 7 meses
Pelagem",Border collie,,,,,,,Hemogasometria EG7 - NINA - LILIAN.pdf
NINA,"14,800",Fêmea,"15 anos, 2 meses, 27 dias
Pelagem",SEM RAÇA DEFINIDA,,,,,,,Hemogasometria EG7 - NINA - ROBINEY.pdf
PEQUENA,"7,500",Fêmea,"13 anos, 11 meses, 19 dias
Pelagem",Shih-Tzu,,,,,,,Hemogasometria EG7 - PEQUENA - ADRIANA.pdf
SOPHIA,"5,500",Fêmea,"14 anos, 6 meses, 14 dias
Pelagem",Shih-Tzu,,,,,,,Hemogasometria EG7 - SOPHIA - MARINA.pdf
,,,,,,,,,,,Hemogasonetria - 25.09.24.pdf
,,,,,,,,,,,Hemograma - 25.09.24.pdf
Boris,"9,500",Macho,"12 anos, 9 meses, 30 dias
Pelagem",Pug,,,,,,,Hemograma c_ plaquetas - DOG SAÚDE - Boris - Cevalli.pdf
,,Fêmea,"15
anos
Espécie",Poodle,,,,,,30,Hemograma PUCCA 26.04.25.pdf
,,,,,,,,,,,hg.pdf
,,Fêmea,,Carolina Canales     CRMV-SP 72930 ,,,,,,,Holly (Julia) 23-04-1.pdf
,,Fêmea,,Carolina Canales     CRMV-SP 72930 ,,,,,,,Holly (Julia) 23-04.pdf
,,Macho,,Mayara Bispo Oliveira     CRMV-SP 67897 ,,,,,,,Horus (Stephanie) 16-09.pdf
,,Macho,,Julia Francesconi Guadanholi     CRMV-SP 67025 ,,,,,,,Horus (Stephanie) 18-09.pdf
,,Macho,,Larissa Alves Da Silva     CRMV-SP 69712 ,,,,,,,Horus (Stephanie) 19-09-1.pdf
,,Macho,,Graziela Campos Garibaldi     CRMV-SP 59006 ,,,,,,,Horus (Stephanie) 19-09.pdf
,,Macho,,Julia Francesconi Guadanholi     CRMV-SP 67025 ,,,,,,,Horus (Stephanie) 21-09.pdf
,,,,,,,,,,,HORUS_185904_2434_14_09_2024_20_17_39.pdf
,,M,"10A1M
Sexo",PUG,,,,,,,HORUS_185904_2578_14_09_2024_20_17_34.pdf
,,,"10 ANOS
ID",PUG,,,,,,,HORUS_185904_2784_14_09_2024_20_18_22.pdf
,,,,,,,,,,,HORUS_185904_382_14_09_2024_20_17_44.pdf
,,,,,,,,,,,HORUS_185904_383_14_09_2024_20_18_09.pdf
,,,,,,,,,,,HORUS_185904_3873_14_09_2024_20_18_38.pdf
,,,,,,,,,,,HORUS_185904_388_14_09_2024_20_18_46.pdf
,,,"10 ANOS
ID",PUG,,,,,,,HORUS_185904_4962_14_09_2024_20_18_02.pdf
,,M,,PUG  ,,,,,,,HORUS_185904_5118_14_09_2024_20_18_13.pdf
,,,,,,,,,,,IMAGENS rx sophia 2507.pdf
,,,,,,,,,,,Imagens Shophia (1).pdf
,,,,,,,,,,,Imagens Sophia.pdf
,,,,,,,,,,,Imagens_Shophia_1732200137623469.pdf
,,M,"2 anos 8 meses 16 dias
Microchip",BORDER COLLIE,,,,,,,ImpressaoResultados_01052025041601419.pdf
,,M,"2 anos 6 dias
Microchip",BORDER COLLIE,,,,,,,ImpressaoResultados_02082024043521191.pdf
,,M,"13 anos 5 meses 7 dias
Microchip",DACHSHUND,,,,,,,ImpressaoResultados_03052025061512338 (1).pdf
,,M,"9 anos 4 meses 16 dias
Microchip",S.R.D. CANINO,,,,,,,ImpressaoResultados_03052025061523885.pdf
,,M,"12 anos 11 meses 29 dias
Microchip",S.R.D. CANINO,,,,,,,ImpressaoResultados_03052025114638342.pdf
,,F,"11 anos 2 dias
Microchip",YORKSHIRE,,,,,,,ImpressaoResultados_05052025093043246.pdf
,"18,5",M,"12 anos 3 meses 3 dias
Microchip",PASTOR SHETLAND,,,,,,,ImpressaoResultados_06012025022838107.pdf
,,M,"5 anos 4 meses
Microchip",COCKER SPANIEL,,,,,,,ImpressaoResultados_06052025012318825-3.pdf
,"15,5",M,"5 anos 4 meses
Microchip",COCKER SPANIEL,,,,,,,ImpressaoResultados_06052025023717687.pdf
,"15,5",M,"5 anos 4 meses
Microchip",COCKER SPANIEL,,,,,,,ImpressaoResultados_06052025034732116-2.pdf
,"15,5",M,"5 anos 4 meses
Microchip",COCKER SPANIEL,,,,,,,ImpressaoResultados_06052025060020453.pdf
,,F,"12 anos 2 meses 26 dias
Microchip",SHIH-TZU,,,,,,,ImpressaoResultados_06062024110844804.pdf
,,F,"14 anos 2 meses 7 dias
Microchip",SHIH-TZU,,,,,,,ImpressaoResultados_08032025095731415.pdf
,,F,"5 anos 0mes0dia
Microchip",SPITZ ALEMAO,,,,,,,ImpressaoResultados_08052024094159975.pdf
,,M,"2 anos 0mes 12 dias
Microchip",BORDER COLLIE,,,,,,,ImpressaoResultados_08082024070056591.pdf
,,M,"9 anos 4 meses 23 dias
Microchip",S.R.D. CANINO,,,,,,,ImpressaoResultados_10052025021018841.pdf
,,F,"13 anos 4 dias
Microchip",S.R.D. CANINO,,,,,,,ImpressaoResultados_10052025042529866.pdf
,,M,"2 anos 14 dias
Microchip",BORDER COLLIE,,,,,,,ImpressaoResultados_10082024051036991.pdf
,,M,"2 anos 14 dias
Microchip",BORDER COLLIE,,,,,,,ImpressaoResultados_10082024054024789.pdf
,,M,"2 anos 14 dias
Microchip",BORDER COLLIE,,,,,,,ImpressaoResultados_10082024054031102.pdf
,,M,"12 anos 7 meses 22 dias
Microchip",BEAGLE,,,,,,,ImpressaoResultados_11102024121557306.pdf
,,F,"17 anos 3 meses 22 dias
Microchip",WEST HIGHLAND WHITE TERRIER,,,,,,,ImpressaoResultados_12052025112908242.pdf
,,M,"12 anos 3 meses 11 dias
Microchip",PASTOR SHETLAND,,,,,,,ImpressaoResultados_14012025093303922.pdf
,,F,"5 anos 0mes0dia
Microchip",SPITZ ALEMAO,,,,,,,ImpressaoResultados_15052024085417955.pdf
,,M,"9 anos 4 meses 19 dias
Microchip",S.R.D. CANINO,,,,,,,ImpressaoResultados_15052025105521200.pdf
,,M,"2 anos
Microchip",BORDER COLLIE,,,,,,,ImpressaoResultados_16082024115925686.pdf
,,M,"8 anos 2 meses 26 dias
Microchip",CAVALIER KING CHARLES SPANIEL,,,,,,,ImpressaoResultados_17042025090730121.pdf
,,M,"8 anos 5 meses 1dia
Microchip",S.R.D. CANINO,,,,,,,ImpressaoResultados_18052024055717548 (2).pdf
,,M,"9 anos 5 meses 30 dias
Microchip",SHIH-TZU,,,,,,,ImpressaoResultados_19042023032536209.pdf
,,M,"7 anos 7 meses
Microchip",PASTOR SHETLAND,,,,,,,ImpressaoResultados_20072024051703511.pdf
,,M,"2 anos 1dia
Microchip",BORDER COLLIE,,,,,,,ImpressaoResultados_20082024085944402.pdf
,,M,"2 anos 0mes0dia
Microchip",BORDER COLLIE,,,,,,,ImpressaoResultados_20082024115043740.pdf
,,M,"6 anos 2 meses 10 dias
Microchip",SPITZ ALEMAO,,,,,,,ImpressaoResultados_22042021025805922.pdf
,,F,"4 anos 9 meses 23 dias
Microchip",PUG,,,,,,,ImpressaoResultados_22042025084925190.pdf
,,F,"5 anos 9 meses 20 dias
Microchip",SPITZ ALEMAO,,,,,,,ImpressaoResultados_23042025104641387.pdf
,,M,"12 anos 0mes0dia
Microchip",YORKSHIRE,,,,,,,ImpressaoResultados_24082023042507959.pdf
,,F,"13 anos 0mes0dia
Microchip",LHASA APSO,,,,,,,ImpressaoResultados_24082023093149190.pdf
,,M,"12 anos 8 meses 6 dias
Microchip",BEAGLE,,,,,,,ImpressaoResultados_24102024035157380.pdf
,,M,"12 anos 8 meses 6 dias
Microchip",BEAGLE,,,,,,,ImpressaoResultados_24102024060103870.pdf
,,M,"7 anos 3 meses 13 dias
Microchip",SPITZ ALEMAO,,,,,,,ImpressaoResultados_25052022021527812.pdf
,,M,"2 anos 10 dias
Microchip",BORDER COLLIE,,,,,,,ImpressaoResultados_26082024121658537.pdf
,,F,"11 anos 0mes0dia
Microchip",SHIH-TZU,,,,,,,ImpressaoResultados_27062024062004672.pdf
,,F,"7 anos 0mes0dia
Microchip",YORKSHIRE TERRIER,,,,,,,ImpressaoResultados_27072024050521484.pdf
,,F,"5 anos 0mes0dia
Microchip",SPITZ ALEMAO,,,,,,,ImpressaoResultados_28062024090007260.pdf
,,M,"12 anos 2 meses 11 dias
Microchip",SHIH-TZU,,,,,,,ImpressaoResultados_29032025115316398.pdf
,,M,"2 anos 9 meses 3 dias
Microchip",BORDER COLLIE,,,,,,,ImpressaoResultados_30042025040206383.pdf
,,M,"2 anos 15 dias
Microchip",BORDER COLLIE,,,,,,,ImpressaoResultados_31082024045758477.pdf
,,F,"12 anos 0mes1dia
Microchip",S.R.D. CANINO,,,,,,,ImpressaoResultados_LORY.pdf
,,,"7 ANOS
ID",LABRADOR,,,,,,,inbVLTFqcLI0cnjOrBDHbeIcFGXGZJ47ysOeyEl9.pdf
,,,,,,,,,,,jGjHm7OHMZE4tG7hbjzN1DLamtTELF16RRuXnR26 (2).pdf
,,Fêmea,,Sara Gomes     CRMV-SP 64068 ,,,,,,,Juba (Desiree) -1.pdf
,,Fêmea,,Sergio Marques     CRMV-SP 39.118 ,,,,,,,Juba (Desiree) .pdf
,,Fêmea,,Jader Tomaz Dos Reis Costa     CRMV-SP 70049 ,,,,,,,Juba (Desiree) 13-01.pdf
,,F,"9a
Proprietário",Idade: 9a,,,,,,,Juba_10mar24.pdf
,,F,"10a
Proprietário",Idade: 10a,,,,,,,Juba_12jan25.pdf
,,F,"10a
Proprietário",Idade: 10a,,,,,,,Juba_Fibrinogênio_12jan25.pdf
,,,,,,,,,,,judy..pdf
,,F,"7 ANOS 
Responsável",LABRADOR ,,,,,,,JULIE (2) (1).pdf
,,Fêmea,,Julia Francesconi Guadanholi     CRMV-SP 67025 ,,,,,,,Julie (Eliana) 19-07.pdf
,,Fêmea,,Camila Tavares De Oliveira     CRMV-SP 52607 ,,,,,,,Julie (Eliana) Estimulação ACTH.pdf
,,Fêmea,,Alessandra Rinah Nogueira     CRMV-SP 26925 ,,,,,,,Julie (Rafael) .pdf
,,,,,,,,,,,JULIE BIOQ 16466 CS.pdf
,,,,,,,,,,,JULIE HMG CS 16466.pdf
,,F,"6 anos 1mes 4 dias
Microchip",LABRADOR RETRIEVER,,,,,,,JULIE PROVET.pdf
,,,6  Ano,,,,,,,,JULIE ZOO.pdf
,,Fêmea,,Rodrigo Ubukata     CRMV-SP 14373 ,,,,,,,Kate (Patricia) 26-06.pdf
,,Fêmea,,Isabella Azevedo     CRMV-SP 58987 ,,,,,,,Kate (Patricia) 28-06.pdf
,,Fêmea,,Camila Tavares De Oliveira     CRMV-SP 52607 ,,,,,,,Kiara (Jade) .pdf
,,,,,,,,,,,kWBsk7Kn8FylcP318zoTCWeVBiqImPwb7fwTuDw0.pdf
,,F,"10a
Proprietário",Idade: 10a,,,,,,,Lari_20out24.pdf
,,fêmea,"6 anos 
Peso",Labrador ,,,,,,,laudo  ecg Julie master 02-07-24.pdf
,,,,,,,,,,,LAUDO BUD ALL CARE VET 14-01.pdf
,,,,,,,,,,,LAUDO BUD.pdf
,,,,,,,,,,,laudo caramelho all care vet.pdf
,,,,,,,,,,,laudo chorao.pdf
,,,,,,,,,,,Laudo ECO Banzé.pdf
,,MACHO,"9 anos 
Sexo",SHIHTZU ,,,,,,,LAUDO ECO BENJAMIN - ESTACAO VET.pdf
,,Fêmea,"6 anos 
Sexo",Pug ,,,,,,,LAUDO ECO CHIQUINHA - KLABIN VET.pdf
,,MACHO,"8 anos 
Sexo",CAVALIER SPANIEL ,,,,,,,LAUDO ECO FREDD - BICHO DE PET.pdf
,,,,,,,,,,,Laudo eco Ricota Maria can yorkshire fêmea 10 anos.pdf
,6,femea,,shihtzu,,,,,,,laudo eco sophia 00811.pdf
,,Fêmea,"6 anos 
             Sexo",Pug ,,,,,,,LAUDO ELETRO CHIQUINHA - VET KLABIN.pdf
,,Idade,29,Dt. Nasc.: ,,,,,,,Laudo Exame Nick 08.7.24.pdf
,,,,,,,,,,,laudo galak all care 13-05.pdf
,,,,,,,,,,,Laudo Imunoistoquímica - Juba (Desiree).pdf
,,,,,,,,,,,LAUDO JUBA ALL CARE VET.pdf
,,Fêmea,,Husky Siberiano ,,,,,,,Laudo Luna - Monica - 10-02-2025 Vets.pdf
,,Fêmea,"10 anos 1 mês e 4 dias
Dados Paciente
Data da realização do Exame",Husky Siberiano   Sexo: Fêmea  Peso:  ,,,,,,,Laudo Luna - Mônica - 19-04-2025 Vets.pdf
,,Fêmea,"10 anos 1 mês e 5 dias
Dados Paciente
Data da realização do Exame",Husky Siberiano   Sexo: Fêmea  Peso:  ,,,,,,,Laudo Luna - Mônica - 20-04-2025 Vets.pdf
,,Fêmea,"10 anos 2 dias
Dados Paciente
Data da realização do Exame",Husky Siberiano   Sexo: Fêmea  Peso:  ,,,,,,,Laudo Luna - Mônica 17-03-2025 Vets.pdf
,,,,,,,,,,,Laudo PA Banzé.pdf
,,Macho,9 anos           Sexo,Não informado ,,,,,,,LAUDO RADIOGRÁFICO - AG DIAGNÓSTICO-  buddy 13.01.25 - ok.pdf
,,,,,,,,,,,Laudo ultrassonográfico Bud_Felippe Latorre.pdf
,,,,,,,,,,,Laudo US Benjamin.pdf
,,Macho,"15 anos e 02 meses 
Sexo",SRD ,,,,,,,Laudo US Bob -1.pdf
,,Fêmea,"11 anos e 08 meses 
Sexo",Golden Retriever ,,,,,,,Laudo US Doris .pdf
,,Fêmea,"13 anos e 03 meses 
Sexo",,,,,,,,Laudo US Nina -2.pdf
,,Macho,"14 anos  
Sexo",Shih Tzu ,,,,,,,Laudo US Regis .pdf
,,Macho,"15 anos e 09 meses 
Sexo",Poodle ,,,,,,,Laudo US Sam .pdf
,,Fêmea,"14a 
Proprietário",Shih Tzu        Sexo: Fêmea        Idade: 14a ,,,,,,,Laudo USG Sofia can Shihtzu Marina Steticdogs 21-11-2024.pdf
,"11,0",Macho,"9 anos e 0 mês
Sexo",Shih Tzu,,,,,,,laudo-1.pdf
,,,,,,,,,,,laudo_5400330 (1).pdf
,,F,,(SRD)  ,,,,,,,laudo_638664812815696057.pdf
,,F,,(SRD)  ,,,,,,,laudo_638669291048707358.pdf
,,Fêmea,"11 Anos 
Proprietário",Pug ,,,,,,,Laudo_Chiquinha dr. marcus.pdf
,,fêmea,"14 anos 
Sexo",,,,,,,,Laudo_Leticia_Laura.pdf
,,Fêmea,,Graziela Campos Garibaldi     CRMV-SP 59006 ,,,,,,,Layla (Marcelo) -1.pdf
,,Fêmea,,Dra Juliana Cirillo     CRMV-SP 20197 ,,,,,,,Layla (Marcelo) .pdf
,,Fêmea,,Mariana Nascimento     CRMV-SP 50.382 ,,,,,,,Layla (Marcelo) 09-06.pdf
